module,path,field,english,hindi,santali_new,translator_note
machinery-safety,machinery-safety.steps[5].choices[0].text,option,Keep running it — the machine works and output is behind,चलाते रहें — मशीन काम कर रही है और उत्पादन पिछड़ रहा है,,
machinery-safety,machinery-safety.steps[5].choices[0].feedback,feedback,"A two-hand control exists so both hands are outside the die when it closes. Defeated, it is not a minor fault; it is the specific guard that prevents an amputation, and it has been removed.","दो-हाथ कंट्रोल इसलिए है कि डाई बंद होते समय दोनों हाथ बाहर हों। इसे निष्क्रिय करना छोटी खराबी नहीं है; यह वही गार्ड है जो विच्छेदन रोकता है, और वह हटा दिया गया है।",,
machinery-safety,machinery-safety.steps[5].choices[1].text,option,"Stop the machine, tag it out of service and report the defeated control","मशीन रोकें, सेवा से बाहर टैग करें और निष्क्रिय कंट्रोल की रिपोर्ट करें",,
machinery-safety,machinery-safety.steps[5].choices[1].feedback,feedback,Correct. A defeated safety control is a stop-work condition. Tagging it prevents the next operator inheriting an unguarded machine that looks normal.,सही। निष्क्रिय सुरक्षा कंट्रोल काम रोकने की स्थिति है। टैग करना अगले ऑपरेटर को ऐसी बिना गार्ड मशीन मिलने से बचाता है जो सामान्य दिखती है।,,
machinery-safety,machinery-safety.steps[5].choices[2].text,option,Run it carefully and mention it at the end of the shift,सावधानी से चलाएं और शिफ्ट के अंत में बता दें,,
machinery-safety,machinery-safety.steps[5].choices[2].feedback,feedback,"Care is not a substitute for a guard, and the next operator will not know. The whole risk of a defeated control is that the machine looks and behaves as usual until it takes a hand.","सावधानी गार्ड का विकल्प नहीं है, और अगले ऑपरेटर को पता नहीं होगा। निष्क्रिय कंट्रोल का पूरा जोखिम यही है कि मशीन हाथ ले लेने तक सामान्य दिखती और चलती रहती है।",,
electrical-hazard,electrical-hazard.title,title,Electrical Hazard Response,विद्युत खतरा प्रतिक्रिया,,
electrical-hazard,electrical-hazard.intro,intro,You are doing a routine floor walk near the plant's main electrical distribution panel.,आप प्लांट के मुख्य इलेक्ट्रिकल डिस्ट्रीब्यूशन पैनल के पास नियमित फ्लोर वॉक कर रहे हैं।,,
electrical-hazard,electrical-hazard.steps[0].prompt,prompt,"You notice a frayed, exposed wire running across a walkway near the panel.","आप पैनल के पास वॉकवे में एक कटा हुआ, खुला तार देखते हैं।",,
electrical-hazard,electrical-hazard.steps[0].choices[0].text,option,Step over it carefully and continue on,सावधानी से उसके ऊपर से कदम बढ़ाकर आगे बढ़ें,,
electrical-hazard,electrical-hazard.steps[0].choices[0].feedback,feedback,"An exposed live wire is a shock and fire hazard for everyone who walks that path after you, not just you. Stepping over it does not make it safe.",एक खुला जीवित तार आपके बाद उस रास्ते से चलने वाले हर व्यक्ति के लिए शॉक और आग का खतरा है। उसके ऊपर से कदम बढ़ाने से यह सुरक्षित नहीं हो जाता।,,
electrical-hazard,electrical-hazard.steps[0].choices[1].text,option,"Cordon off the area, de-energize if trained to, and report it immediately","क्षेत्र को घेर दें, यदि प्रशिक्षित हों तो बिजली बंद करें, और तुरंत रिपोर्ट करें",,
electrical-hazard,electrical-hazard.steps[0].choices[1].feedback,feedback,Correct. Exposed wiring must be isolated from foot traffic and reported for repair right away.,सही। खुले तार को पैदल यातायात से अलग किया जाना चाहिए और तुरंत मरम्मत के लिए रिपोर्ट किया जाना चाहिए।,,
electrical-hazard,electrical-hazard.steps[1].prompt,prompt,A technician needs to service equipment connected to this panel. What is required before they start?,एक तकनीशियन को इस पैनल से जुड़े उपकरण की सर्विस करनी है। शुरू करने से पहले क्या आवश्यक है?,,
electrical-hazard,electrical-hazard.steps[1].choices[0].text,option,They can start immediately since they are experienced,वे तुरंत शुरू कर सकते हैं क्योंकि वे अनुभवी हैं,,
electrical-hazard,electrical-hazard.steps[1].choices[0].feedback,feedback,Experience does not replace lockout-tagout. Skipping isolation before electrical maintenance is how experienced technicians get seriously injured.,अनुभव लॉकआउट-टैगआउट की जगह नहीं ले सकता। इलेक्ट्रिकल रखरखाव से पहले आइसोलेशन छोड़ना ही अनुभवी तकनीशियनों के गंभीर रूप से घायल होने का कारण बनता है।,,
electrical-hazard,electrical-hazard.steps[1].choices[1].text,option,"The circuit must be locked out, tagged, and tested dead before any work begins","काम शुरू होने से पहले सर्किट को लॉक, टैग और डेड-टेस्ट किया जाना चाहिए",,
electrical-hazard,electrical-hazard.steps[1].choices[1].feedback,feedback,Correct. Lockout-tagout plus a dead-test confirmation is mandatory before touching any electrical equipment for maintenance.,सही। किसी भी रखरखाव कार्य के लिए इलेक्ट्रिकल उपकरण को छूने से पहले लॉकआउट-टैगआउट और डेड-टेस्ट पुष्टि अनिवार्य है।,,
electrical-hazard,electrical-hazard.steps[2].prompt,prompt,You smell a faint burning odor coming from the panel area.,आपको पैनल क्षेत्र से हल्की जलने की गंध आती है।,,
electrical-hazard,electrical-hazard.steps[2].choices[0].text,option,"Keep working, someone else will notice eventually","काम जारी रखें, कोई और आखिरकार नोटिस करेगा",,
electrical-hazard,electrical-hazard.steps[2].choices[0].feedback,feedback,A burning smell near electrical equipment is an early fire warning sign. Delayed reporting can lead to a major electrical fire.,इलेक्ट्रिकल उपकरण के पास जलने की गंध आग की शुरुआती चेतावनी है। देर से रिपोर्टिंग एक बड़ी इलेक्ट्रिकल आग का कारण बन सकती है।,,
electrical-hazard,electrical-hazard.steps[2].choices[1].text,option,"Stop work, report it, and alert the fire safety team","काम रोकें, इसकी रिपोर्ट करें और फायर सेफ्टी टीम को सचेत करें",,
electrical-hazard,electrical-hazard.steps[2].choices[1].feedback,feedback,Correct. Early reporting of electrical burning smells is critical fire-prevention behavior.,सही। इलेक्ट्रिकल जलने की गंध की जल्दी रिपोर्टिंग महत्वपूर्ण अग्नि-रोकथाम व्यवहार है।,,
electrical-hazard,electrical-hazard.steps[3].prompt,prompt,A workmate is gripping a live cable and cannot let go. He is conscious but rigid.,एक साथी जीवित तार पकड़े हुए है और छोड़ नहीं पा रहा। वह होश में है लेकिन अकड़ा हुआ है।,,
electrical-hazard,electrical-hazard.steps[3].choices[0].text,option,Pull him off by the arm — every second counts,उसे बांह से खींच लें — हर सेकंड कीमती है,,
electrical-hazard,electrical-hazard.steps[3].choices[0].feedback,feedback,"Touching him puts the same current through you, and rescuers become the second casualty in a large share of electrical fatalities. He is rigid because the current has locked his muscles; adding your body to the circuit helps neither of you.","उसे छूने से वही करंट आपमें से गुज़रेगा, और बिजली से होने वाली मौतों के बड़े हिस्से में बचाने वाला दूसरा हताहत बनता है। वह अकड़ा हुआ है क्योंकि करंट ने उसकी मांसपेशियां जकड़ दी हैं; सर्किट में अपना शरीर जोड़ना किसी की मदद नहीं करता।",,
electrical-hazard,electrical-hazard.steps[3].choices[1].text,option,"Isolate the supply first, then reach him","पहले सप्लाई आइसोलेट करें, फिर उस तक पहुंचें",,
electrical-hazard,electrical-hazard.steps[3].choices[1].feedback,feedback,"Correct. Isolation is the rescue. Until the current stops he is part of a live circuit, and the fastest safe route to him is the switch, not his arm.","सही। आइसोलेशन ही बचाव है। जब तक करंट बंद नहीं होता वह एक जीवित सर्किट का हिस्सा है, और उस तक सबसे तेज़ सुरक्षित रास्ता स्विच है, उसकी बांह नहीं।",,
electrical-hazard,electrical-hazard.steps[3].choices[2].text,option,Use a dry wooden plank to push him clear without isolating,आइसोलेट किए बिना सूखे लकड़ी के तख्ते से उसे धक्का देकर हटाएं,,
electrical-hazard,electrical-hazard.steps[3].choices[2].feedback,feedback,"A recognised last resort when isolation is genuinely impossible, and far better than bare hands — but the isolator is right there. Insulated separation is what you do when you cannot kill the supply, not instead of killing it.","जब आइसोलेशन वाकई असंभव हो तब यह मान्य अंतिम उपाय है और नंगे हाथों से बहुत बेहतर — लेकिन आइसोलेटर सामने ही है। इंसुलेटेड अलगाव तब किया जाता है जब सप्लाई बंद न कर सकें, उसकी जगह नहीं।",,
electrical-hazard,electrical-hazard.steps[4].prompt,prompt,You are asked to work on a panel that has been switched off at the breaker.,आपसे एक पैनल पर काम करने को कहा गया है जिसे ब्रेकर से बंद कर दिया गया है।,,
electrical-hazard,electrical-hazard.steps[4].choices[0].text,option,Start work — the breaker is off and labelled,काम शुरू करें — ब्रेकर बंद है और लेबल लगा है,,
electrical-hazard,electrical-hazard.steps[4].choices[0].feedback,feedback,"A label records an intention, not a state. Breakers are mislabelled, wired back-fed, or switched by someone else while you work. Nothing but a test on the conductors you are about to touch proves they are dead.","लेबल इरादा दर्ज करता है, स्थिति नहीं। ब्रेकर पर गलत लेबल हो सकता है, बैक-फीड हो सकती है, या आपके काम करते समय कोई और चालू कर सकता है। जिन कंडक्टरों को आप छूने वाले हैं उन पर जांच के अलावा कुछ भी साबित नहीं करता कि वे मृत हैं।",,
electrical-hazard,electrical-hazard.steps[4].choices[1].text,option,"Lock off, then prove dead on every conductor with an approved tester before touching anything","लॉक ऑफ करें, फिर कुछ भी छूने से पहले मान्य टेस्टर से हर कंडक्टर पर मृत साबित करें",,
electrical-hazard,electrical-hazard.steps[4].choices[1].feedback,feedback,"Correct. Isolate, lock, prove dead, then work — and prove it on the conductors you will actually contact. Testing the tester first is part of it.","सही। आइसोलेट करें, लॉक करें, मृत साबित करें, फिर काम करें — और उन्हीं कंडक्टरों पर साबित करें जिन्हें आप छुएंगे। पहले टेस्टर को जांचना भी इसका हिस्सा है।",,
electrical-hazard,electrical-hazard.steps[5].prompt,prompt,Water from a leaking pipe is pooling under a live floor-standing distribution board.,रिसते पाइप का पानी एक जीवित फ़्लोर-स्टैंडिंग डिस्ट्रिब्यूशन बोर्ड के नीचे इकट्ठा हो रहा है।,,
electrical-hazard,electrical-hazard.steps[5].choices[0].text,option,Mop it up before it reaches the board,बोर्ड तक पहुंचने से पहले पानी पोंछ दें,,
electrical-hazard,electrical-hazard.steps[5].choices[0].feedback,feedback,"That puts you standing in a conductive pool beside live equipment. Water plus an energised board is a step-and-touch shock risk, and the person mopping is the one completing the path to earth.","यह आपको जीवित उपकरण के पास प्रवाहकीय पानी में खड़ा कर देता है। पानी और ऊर्जावान बोर्ड मिलकर स्टेप-एंड-टच झटके का जोखिम बनाते हैं, और पोंछने वाला ही धरती तक रास्ता पूरा करता है।",,
electrical-hazard,electrical-hazard.steps[5].choices[1].text,option,"Keep everyone back, isolate the board upstream, then deal with the water","सबको दूर रखें, बोर्ड को अपस्ट्रीम से आइसोलेट करें, फिर पानी संभालें",,
electrical-hazard,electrical-hazard.steps[5].choices[1].feedback,feedback,"Correct. De-energise first and clear people from the area. The water is a hazard only because the board is live, so removing the energy removes the hazard.","सही। पहले डी-एनर्जाइज़ करें और लोगों को क्षेत्र से हटाएं। पानी खतरा केवल इसलिए है कि बोर्ड जीवित है, इसलिए ऊर्जा हटाने से खतरा हट जाता है।",,
electrical-hazard,electrical-hazard.steps[5].choices[2].text,option,Put down a rubber mat and mop from on top of it,रबर मैट बिछाकर उसके ऊपर से पोंछें,,
electrical-hazard,electrical-hazard.steps[5].choices[2].feedback,feedback,A mat is not rated for this and gives false confidence. Standing on an untested insulator next to a live board in standing water is still an unacceptable exposure when isolation is available.,"मैट इस काम के लिए रेटेड नहीं है और झूठा भरोसा देती है। खड़े पानी में जीवित बोर्ड के पास बिना जांचे इंसुलेटर पर खड़ा होना, जब आइसोलेशन उपलब्ध है, तब भी अस्वीकार्य जोखिम है।",,
dust-respiratory,dust-respiratory.title,title,Dust & Respiratory Hazard Protection,धूल और श्वसन खतरा सुरक्षा,,
dust-respiratory,dust-respiratory.intro,intro,You are working in a mica processing unit where fine mineral dust is a constant part of the job. Long-term exposure without protection can cause silicosis and other lung disease.,आप एक अभ्रक (माइका) प्रसंस्करण इकाई में काम कर रहे हैं जहां महीन खनिज धूल काम का एक निरंतर हिस्सा है। बिना सुरक्षा के लंबे समय तक संपर्क सिलिकोसिस और अन्य फेफड़ों की बीमारी का कारण बन सकता है।,,
dust-respiratory,dust-respiratory.steps[0].prompt,prompt,"You are about to start a shift splitting mica sheets, which generates fine dust. What PPE do you select?","आप अभ्रक की चादरें विभाजित करने की शिफ्ट शुरू करने वाले हैं, जिससे महीन धूल पैदा होती है। आप कौन सा पीपीई चुनते हैं?",,
dust-respiratory,dust-respiratory.steps[0].choices[0].text,option,"A cloth covering over your nose and mouth, since it is what is available","नाक और मुंह पर कपड़े का आवरण, क्योंकि यह उपलब्ध है",,
dust-respiratory,dust-respiratory.steps[0].choices[0].feedback,feedback,Cloth coverings do not filter fine mineral dust. This is exactly the kind of exposure that leads to silicosis over years of work.,कपड़े का आवरण महीन खनिज धूल को फिल्टर नहीं करता। यह बिल्कुल वही प्रकार का संपर्क है जो वर्षों के काम में सिलिकोसिस का कारण बनता है।,,
dust-respiratory,dust-respiratory.steps[0].choices[1].text,option,A properly rated dust/respirator mask (N95 or better) approved for mineral dust,खनिज धूल के लिए अनुमोदित उचित रेटेड धूल/रेस्पिरेटर मास्क (N95 या बेहतर),,
dust-respiratory,dust-respiratory.steps[0].choices[1].feedback,feedback,Correct. Fine mica and silica dust requires a rated respirator — general cloth coverings offer no real protection.,सही। महीन अभ्रक और सिलिका धूल के लिए रेटेड रेस्पिरेटर आवश्यक है — सामान्य कपड़े का आवरण कोई वास्तविक सुरक्षा नहीं देता।,,
dust-respiratory,dust-respiratory.steps[1].prompt,prompt,The work area floor is covered in settled dust and needs to be cleaned before shift change.,कार्य क्षेत्र का फर्श जमी हुई धूल से ढका है और शिफ्ट बदलने से पहले साफ करने की जरूरत है।,,
dust-respiratory,dust-respiratory.steps[1].choices[0].text,option,Dry sweep it to clear it quickly,इसे जल्दी साफ करने के लिए सूखा झाड़ें,,
dust-respiratory,dust-respiratory.steps[1].choices[0].feedback,feedback,"Dry sweeping re-suspends fine dust into the air, increasing everyone's exposure. This is one of the most common dust-safety mistakes on a mica floor.","सूखा झाड़ना महीन धूल को फिर से हवा में उड़ा देता है, जिससे सभी का संपर्क बढ़ जाता है। यह अभ्रक फर्श पर सबसे आम धूल-सुरक्षा गलतियों में से एक है।",,
dust-respiratory,dust-respiratory.steps[1].choices[1].text,option,Use wet suppression or a vacuum with a dust filter,गीला दमन या धूल फिल्टर वाले वैक्यूम का उपयोग करें,,
dust-respiratory,dust-respiratory.steps[1].choices[1].feedback,feedback,Correct. Wet suppression keeps dust from becoming airborne again — dry sweeping should never be used in a high dust environment.,सही। गीला दमन धूल को फिर से हवा में उड़ने से रोकता है — उच्च धूल वातावरण में कभी भी सूखा झाड़ना नहीं चाहिए।,,
dust-respiratory,dust-respiratory.steps[2].prompt,prompt,A co-worker mentions they have had a persistent cough and shortness of breath for several weeks.,एक सहकर्मी बताता है कि उन्हें कई हफ्तों से लगातार खांसी और सांस फूलने की समस्या है।,,
dust-respiratory,dust-respiratory.steps[2].choices[0].text,option,"Tell them it is probably nothing, dust exposure is normal in this job","उन्हें बताएं कि यह शायद कुछ नहीं है, इस काम में धूल का संपर्क सामान्य है",,
dust-respiratory,dust-respiratory.steps[2].choices[0].feedback,feedback,"Normalizing respiratory symptoms delays diagnosis of silicosis and other occupational lung disease, which is far more treatable when caught early.","श्वसन लक्षणों को सामान्य मानना सिलिकोसिस और अन्य व्यावसायिक फेफड़ों की बीमारी के निदान में देरी करता है, जो जल्दी पकड़े जाने पर कहीं अधिक इलाज योग्य है।",,
dust-respiratory,dust-respiratory.steps[2].choices[1].text,option,Encourage them to report it and get a medical check as per occupational health protocol,उन्हें इसकी रिपोर्ट करने और व्यावसायिक स्वास्थ्य प्रोटोकॉल के अनुसार मेडिकल जांच कराने के लिए प्रोत्साहित करें,,
dust-respiratory,dust-respiratory.steps[2].choices[1].feedback,feedback,Correct. Persistent respiratory symptoms in a dust environment should always be reported and medically checked — early detection saves lives.,सही। धूल वातावरण में लगातार श्वसन लक्षणों की हमेशा रिपोर्ट और मेडिकल जांच होनी चाहिए — जल्दी पहचान जान बचाती है।,,
dust-respiratory,dust-respiratory.steps[3].prompt,prompt,You put your respirator on. It sits loose against your cheek because you have a beard.,आपने रेस्पिरेटर पहना। दाढ़ी होने के कारण यह आपके गाल पर ढीला बैठता है।,,
dust-respiratory,dust-respiratory.steps[3].choices[0].text,option,Wear it as is — a loose respirator is better than none,ऐसे ही पहनें — ढीला रेस्पिरेटर कुछ न होने से बेहतर है,,
dust-respiratory,dust-respiratory.steps[3].choices[0].feedback,feedback,"It is not. A tight-fitting respirator works by seal, and air takes the easy path around a broken seal rather than through the filter. You get the discomfort of the mask and almost none of the protection, plus the false confidence that you are protected.","नहीं है। टाइट-फिटिंग रेस्पिरेटर सील से काम करता है, और हवा फिल्टर से गुज़रने के बजाय टूटी सील के आसपास से आसान रास्ता ले लेती है। आपको मास्क की तकलीफ मिलती है और सुरक्षा लगभग शून्य, साथ में यह झूठा भरोसा कि आप सुरक्षित हैं।",,
dust-respiratory,dust-respiratory.steps[3].choices[1].text,option,Ask for a loose-fitting powered respirator or hood that does not rely on a face seal,ऐसा पावर्ड रेस्पिरेटर या हुड मांगें जो चेहरे की सील पर निर्भर न हो,,
dust-respiratory,dust-respiratory.steps[3].choices[1].feedback,feedback,"Correct. Where a seal cannot be achieved, the answer is equipment that does not need one. Fit is not a formality — it is the entire mechanism.","सही। जहां सील नहीं बन सकती, वहां उत्तर वह उपकरण है जिसे सील की जरूरत ही नहीं। फिट औपचारिकता नहीं है — यही पूरी कार्यविधि है।",,
dust-respiratory,dust-respiratory.steps[3].choices[2].text,option,Pull the straps as tight as they will go to force a seal,सील बनाने के लिए पट्टियां जितनी कस सकें उतनी कस दें,,
dust-respiratory,dust-respiratory.steps[3].choices[2].feedback,feedback,"Over-tightening does not seal against hair and it makes the mask painful enough that it will come off within the hour. The seal fails at the hair, not at the strap tension.","ज़्यादा कसने से बालों पर सील नहीं बनती और मास्क इतना दर्द देता है कि एक घंटे में उतर जाएगा। सील बालों पर टूटती है, पट्टी के तनाव पर नहीं।",,
dust-respiratory,dust-respiratory.steps[4].prompt,prompt,The extraction hood over the splitting bench has been swung aside so workers can reach the material more easily.,स्प्लिटिंग बेंच के ऊपर लगा एक्सट्रैक्शन हुड हटा दिया गया है ताकि श्रमिक सामग्री तक आसानी से पहुंच सकें।,,
dust-respiratory,dust-respiratory.steps[4].choices[0].text,option,Leave it — the work is faster and everyone is wearing masks,छोड़ दें — काम तेज़ है और सब मास्क पहने हैं,,
dust-respiratory,dust-respiratory.steps[4].choices[0].feedback,feedback,"Extraction removes dust from the air; a mask only protects the one person wearing it, and only while it is sealed and fitted. Losing extraction raises exposure for the whole bench and loads every filter faster.","एक्सट्रैक्शन हवा से धूल हटाता है; मास्क केवल पहनने वाले एक व्यक्ति की रक्षा करता है, और वह भी तभी जब सील और फिट सही हो। एक्सट्रैक्शन खोने से पूरी बेंच का संपर्क बढ़ता है और हर फिल्टर तेज़ी से भरता है।",,
dust-respiratory,dust-respiratory.steps[4].choices[1].text,option,Reposition the hood over the dust source before work continues,काम जारी रखने से पहले हुड को धूल स्रोत पर दोबारा लगाएं,,
dust-respiratory,dust-respiratory.steps[4].choices[1].feedback,feedback,"Correct. Controlling dust at source protects everyone in the area at once. PPE is the last line, not the first, and it is not a substitute for extraction.","सही। स्रोत पर धूल नियंत्रित करना क्षेत्र के सभी लोगों की एक साथ रक्षा करता है। पीपीई अंतिम पंक्ति है, पहली नहीं, और यह एक्सट्रैक्शन का विकल्प नहीं है।",,
dust-respiratory,dust-respiratory.steps[5].prompt,prompt,Your respirator filter is past its change date but still breathes easily.,आपके रेस्पिरेटर का फिल्टर बदलने की तारीख निकल चुकी है लेकिन सांस अभी भी आसानी से आती है।,,
dust-respiratory,dust-respiratory.steps[5].choices[0].text,option,Keep using it — it does not feel blocked,इस्तेमाल जारी रखें — यह बंद नहीं लगता,,
dust-respiratory,dust-respiratory.steps[5].choices[0].feedback,feedback,"Breathing resistance tells you a particulate filter is loading, but it is not a reliable indicator of remaining life and it tells you nothing at all on a gas or vapour cartridge, which can be exhausted while still breathing freely.","सांस का प्रतिरोध बताता है कि पार्टिकुलेट फिल्टर भर रहा है, पर यह बची हुई उम्र का भरोसेमंद संकेत नहीं है और गैस या वेपर कार्ट्रिज पर कुछ भी नहीं बताता, जो आसानी से सांस देते हुए भी खत्म हो सकता है।",,
dust-respiratory,dust-respiratory.steps[5].choices[1].text,option,"Change the filter and record it, on schedule rather than on feel","फिल्टर बदलें और दर्ज करें, अनुसूची के अनुसार, महसूस के अनुसार नहीं",,
dust-respiratory,dust-respiratory.steps[5].choices[1].feedback,feedback,"Correct. Filter life is managed by a change schedule, not by sensation. Recording the change is what makes the schedule real rather than a habit.","सही। फिल्टर की उम्र बदलने की अनुसूची से संभाली जाती है, संवेदना से नहीं। बदलाव दर्ज करना ही अनुसूची को आदत के बजाय वास्तविक बनाता है।",,
dust-respiratory,dust-respiratory.steps[5].choices[2].text,option,Blow the filter clean with the airline and carry on,एयरलाइन से फिल्टर को फूंक कर साफ करें और चलते रहें,,
dust-respiratory,dust-respiratory.steps[5].choices[2].feedback,feedback,"Compressed air drives trapped dust through the media and damages it, so a filter cleaned this way is worse than the one you started with. It is also a good way to inhale a concentrated cloud of what it had already captured.","संपीड़ित हवा फंसी धूल को मीडिया के आर-पार धकेलती है और उसे नुकसान पहुंचाती है, इसलिए इस तरह साफ किया फिल्टर पहले से खराब हो जाता है। यह उसी चीज़ का गाढ़ा बादल सांस में लेने का भी अच्छा तरीका है जो उसने पकड़ी थी।",,
warehouse-loading,warehouse-loading.title,title,Warehouse & Loading Bay,गोदाम और लोडिंग बे,,
warehouse-loading,warehouse-loading.intro,intro,"You are working in a materials warehouse attached to the plant, coordinating forklift movement and stacked inventory during a busy shift.","आप प्लांट से जुड़े एक सामान गोदाम में काम कर रहे हैं, व्यस्त शिफ्ट के दौरान फोर्कलिफ्ट आवाजाही और स्टैक्ड इन्वेंट्री का समन्वय कर रहे हैं।",,
warehouse-loading,warehouse-loading.steps[0].prompt,prompt,"A forklift is reversing near you with its warning beeper disabled because ""it was too noisy.""","एक फोर्कलिफ्ट आपके पास पीछे जा रहा है जिसकी रिवर्सिंग बीपर ""बहुत शोर करता था"" इसलिए बंद कर दी गई है।",,
warehouse-loading,warehouse-loading.steps[0].choices[0].text,option,Continue walking through the area as usual,हमेशा की तरह इस क्षेत्र से चलते रहें,,
warehouse-loading,warehouse-loading.steps[0].choices[0].feedback,feedback,A disabled reversing alarm removes the only warning pedestrians get. Struck-by-forklift incidents are a leading cause of warehouse fatalities.,बंद रिवर्सिंग अलार्म पैदल चलने वालों को मिलने वाली एकमात्र चेतावनी को हटा देता है। फोर्कलिफ्ट से टकराना गोदाम में मौत का प्रमुख कारण है।,,
warehouse-loading,warehouse-loading.steps[0].choices[1].text,option,"Stop, report the disabled alarm, and avoid the forklift's path","रुकें, बंद अलार्म की रिपोर्ट करें, और फोर्कलिफ्ट के रास्ते से बचें",,
warehouse-loading,warehouse-loading.steps[0].choices[1].feedback,feedback,Correct. Reversing alarms must never be disabled — report it immediately and keep clear until it is fixed.,सही। रिवर्सिंग अलार्म को कभी बंद नहीं किया जाना चाहिए — तुरंत रिपोर्ट करें और ठीक होने तक दूर रहें।,,
warehouse-loading,warehouse-loading.steps[1].prompt,prompt,"You see steel drums stacked three-high without any strapping, swaying slightly.",आप देखते हैं कि स्टील ड्रम बिना किसी स्ट्रैपिंग के तीन-ऊंचे स्टैक किए गए हैं और हल्के से हिल रहे हैं।,,
warehouse-loading,warehouse-loading.steps[1].choices[0].text,option,"Walk past quickly, it has been like that for days","जल्दी से आगे बढ़ें, यह कई दिनों से ऐसा ही है",,
warehouse-loading,warehouse-loading.steps[1].choices[0].feedback,feedback,Unsecured stacked loads can topple with no warning. Normalizing a known hazard is exactly how warehouse crush injuries happen.,बिना सुरक्षित स्टैक्ड लोड बिना किसी चेतावनी के गिर सकते हैं। किसी ज्ञात खतरे को सामान्य मानना ​​ठीक वैसे ही गोदाम कुचलने की चोटों का कारण बनता है।,,
warehouse-loading,warehouse-loading.steps[1].choices[1].text,option,Cordon off the area and report it for proper restacking,क्षेत्र को घेर दें और उचित रीस्टैकिंग के लिए रिपोर्ट करें,,
warehouse-loading,warehouse-loading.steps[1].choices[1].feedback,feedback,Correct. Unstable stacked loads must be secured or cordoned off immediately — this prevents crush injuries from a sudden collapse.,सही। अस्थिर स्टैक्ड लोड को तुरंत सुरक्षित या घेरा जाना चाहिए — यह अचानक गिरने से कुचलने की चोटों को रोकता है।,,
warehouse-loading,warehouse-loading.steps[2].prompt,prompt,You need to reach a box on a high shelf and the only ladder nearby has a visibly cracked step.,आपको ऊंचे शेल्फ पर रखे एक बॉक्स तक पहुंचना है और पास की एकमात्र सीढ़ी में स्पष्ट रूप से टूटा हुआ कदम है।,,
warehouse-loading,warehouse-loading.steps[2].choices[0].text,option,"Use it carefully, just this once","सावधानी से इसका उपयोग करें, बस इस बार",,
warehouse-loading,warehouse-loading.steps[2].choices[0].feedback,feedback,"A cracked step can fail under any load, ""careful"" use included. Faulty equipment must be taken out of service, not worked around.","टूटा हुआ कदम किसी भी भार में विफल हो सकता है, ""सावधानी"" से उपयोग करने पर भी। दोषपूर्ण उपकरण को हल किया जाना चाहिए, उसके साथ काम नहीं चलाया जाना चाहिए।",,
warehouse-loading,warehouse-loading.steps[2].choices[1].text,option,Tag it as damaged and get a proper ladder,इसे क्षतिग्रस्त के रूप में टैग करें और उचित सीढ़ी लें,,
warehouse-loading,warehouse-loading.steps[2].choices[1].feedback,feedback,"Correct. Damaged equipment should be tagged and removed from use immediately, not risked ""just this once.""","सही। क्षतिग्रस्त उपकरण को तुरंत टैग करके उपयोग से हटा देना चाहिए, ""बस इस बार"" जोखिम नहीं लेना चाहिए।",,
warehouse-loading,warehouse-loading.steps[3].prompt,prompt,You need to cross the yard. A loaded forklift is heading for the same gap and the driver is looking over his shoulder at his load.,आपको यार्ड पार करना है। एक भरा फोर्कलिफ्ट उसी रास्ते आ रहा है और ड्राइवर कंधे के ऊपर से अपने लोड को देख रहा है।,,
warehouse-loading,warehouse-loading.steps[3].choices[0].text,option,Walk through quickly before he gets there,उसके पहुंचने से पहले जल्दी से निकल जाएं,,
warehouse-loading,warehouse-loading.steps[3].choices[0].feedback,feedback,"A loaded forklift has a blind side, poor forward visibility past the load, and cannot stop or swerve like a car. Winning the gap depends on him seeing you, which is the one thing you have just established he is not doing.","भरे फोर्कलिफ्ट का एक अंधा हिस्सा होता है, लोड के आगे दिखाई कम देता है, और वह कार की तरह रुक या मुड़ नहीं सकता। रास्ता जीतना इस पर टिका है कि वह आपको देखे, और आपने अभी तय किया है कि वह देख नहीं रहा।",,
warehouse-loading,warehouse-loading.steps[3].choices[1].text,option,"Stop, stay in the walkway, and wait until you have eye contact and he has acknowledged you","रुकें, वॉकवे में रहें, और तब तक इंतज़ार करें जब तक आँख न मिले और वह आपको स्वीकार न करे",,
warehouse-loading,warehouse-loading.steps[3].choices[1].feedback,feedback,"Correct. Pedestrian-vehicle separation plus positive acknowledgement is what prevents struck-by incidents. If he has not seen you, you do not have right of way whatever the markings say.","सही। पैदल-वाहन अलगाव और स्पष्ट स्वीकृति ही टकराव रोकते हैं। यदि उसने आपको नहीं देखा, तो चिह्न जो भी कहें, रास्ता आपका नहीं है।",,
warehouse-loading,warehouse-loading.steps[3].choices[2].text,option,Wave your arms so he notices you and keep walking,हाथ हिलाएं ताकि वह देख ले और चलते रहें,,
warehouse-loading,warehouse-loading.steps[3].choices[2].feedback,feedback,You are relying on him looking up at the exact moment you enter his path. Signalling is not a substitute for staying out of the vehicle route until it is clear.,आप इस पर भरोसा कर रहे हैं कि जिस पल आप उसके रास्ते में आएंगे उसी पल वह ऊपर देखेगा। इशारा करना वाहन मार्ग से दूर रहने का विकल्प नहीं है।,,
