group,key,english,hindi,santali_current,santali_corrected,reviewer_note,edit_in_file
1 · Drill and hazard instructions,bd_same_device_note,"Opens a practice run between two browser tabs. Useful for learning the flow, but it is not the real two-person drill.","दो ब्राउज़र टैब के बीच अभ्यास चलाता है। प्रवाह समझने के लिए उपयोगी, लेकिन यह असली दो-व्यक्ति ड्रिल नहीं है।","ᱵᱟᱨᱭᱟ ᱵᱨᱟᱣᱡᱚᱨ ᱴᱮᱵ ᱛᱟᱞᱟ ᱨᱮ ᱛᱟᱞᱤᱢ ᱮᱦᱚᱵᱚᱜᱼᱟ ᱾ ᱦᱚᱨ ᱵᱟᱰᱟᱭ ᱞᱟᱹᱜᱤᱫ ᱵᱮᱥ, ᱢᱮᱱᱠᱷᱟᱱ ᱱᱚᱶᱟ ᱥᱟᱹᱨᱤ ᱵᱟᱨᱭᱟ ᱦᱚᱲ ᱛᱟᱞᱤᱢ ᱵᱟᱝ ᱠᱟᱱᱟ ᱾",,,i18nSantali.js
1 · Drill and hazard instructions,bd_saved,Result saved to your record,परिणाम आपके रिकॉर्ड में सहेजा गया,ᱯᱷᱚᱞ ᱟᱢᱟᱜ ᱨᱮᱠᱚᱰ ᱨᱮ ᱥᱟᱸᱪᱟᱣ ᱮᱱᱟ,,,i18nSantali.js
1 · Drill and hazard instructions,bd_scan_now,Scan code,कोड स्कैन करें,ᱠᱚᱰ ᱥᱠᱟᱱ,,,i18n.js / i18nJaagruk.js
1 · Drill and hazard instructions,bd_title,Buddy system drill,बडी सिस्टम ड्रिल,ᱡᱚᱲᱟᱣ ᱥᱤᱥᱴᱚᱢ ᱛᱟᱞᱤᱢ,,,i18nSantali.js
1 · Drill and hazard instructions,bd_use_code,Use this code,यह कोड इस्तेमाल करें,ᱱᱚᱶᱟ ᱠᱚᱰ ᱵᱮᱵᱷᱟᱨ ᱢᱮ,,,i18nSantali.js
1 · Drill and hazard instructions,bd_waiting_buddy,Waiting for your buddy…,बडी का इंतज़ार…,ᱡᱚᱲᱟᱣ ᱠᱩᱨᱩᱢᱩᱴᱩ ᱠᱟᱱᱟ…,,,i18n.js / i18nJaagruk.js
1 · Drill and hazard instructions,bd_waiting_score,Waiting for your buddy’s result…,बडी के परिणाम का इंतज़ार…,ᱟᱢᱟᱜ ᱡᱚᱲᱟᱣ ᱨᱮᱭᱟᱜ ᱯᱷᱚᱞ ᱠᱩᱨᱩᱢᱩᱴᱩ ᱠᱟᱱᱟ…,,,i18nSantali.js
1 · Drill and hazard instructions,bd_you_are,You are,आप हैं,ᱟᱢ ᱠᱟᱱᱟᱢ,,,i18n.js / i18nJaagruk.js
1 · Drill and hazard instructions,bd_your_score,Your result,आपका परिणाम,ᱟᱢᱟᱜ ᱯᱷᱚᱞ,,,i18n.js / i18nJaagruk.js
1 · Drill and hazard instructions,buddy_cas_continue,Push through — it will pass,सहते रहें — ठीक हो जाएगा,ᱠᱟᱹᱢᱤ ᱛᱮᱭᱟᱨ — ᱴᱷᱤᱠ ᱦᱩᱭᱩᱜᱼᱟ,,,i18n.js / i18nJaagruk.js
1 · Drill and hazard instructions,buddy_cas_signal,Signal your buddy and move to the exit,बडी को संकेत दें और निकास की ओर बढ़ें,ᱡᱚᱲᱟᱣ ᱠᱚ ᱠᱷᱚᱵᱚᱨ ᱮᱢ ᱟᱨ ᱚᱰᱚᱠ ᱛᱮ ᱪᱟᱞᱟᱜ,,,i18n.js / i18nJaagruk.js
1 · Drill and hazard instructions,buddy_entry_alone,Yes — the two of us is enough,हाँ — हम दोनों काफ़ी हैं,ᱦᱟᱸ — ᱟᱞᱮ ᱵᱟᱨᱭᱟ ᱜᱮ ᱵᱟᱹᱲᱛᱤ,,,i18n.js / i18nJaagruk.js
1 · Drill and hazard instructions,buddy_entry_attendant,No — wait for the attendant outside,नहीं — बाहर अटेंडेंट का इंतज़ार करें,ᱵᱟᱝ — ᱵᱟᱦᱨᱮ ᱦᱚᱲ ᱠᱩᱨᱩᱢᱩᱴᱩᱭ,,,i18n.js / i18nJaagruk.js
1 · Drill and hazard instructions,buddy_fb_cas_right,"Correct. Signalling early is what makes rescue possible. A worker who says nothing is found, not saved.","सही। जल्दी संकेत देना ही बचाव संभव बनाता है। जो कुछ नहीं कहता, वह मिलता है — बचता नहीं।","ᱴᱷᱤᱠ ᱾ ᱞᱟᱦᱟ ᱛᱮ ᱠᱷᱚᱵᱚᱨ ᱮᱢ ᱜᱮ ᱵᱟᱺᱪᱟᱣ ᱦᱩᱭ ᱫᱟᱲᱮᱭᱟᱜᱼᱟ ᱾ ᱡᱟᱦᱟᱸ ᱠᱟᱹᱢᱤ ᱦᱚᱲ ᱪᱮᱫ ᱦᱚᱸ ᱵᱟᱝ ᱞᱟᱭᱮᱫᱟᱭ, ᱩᱱᱤ ᱧᱟᱢᱚᱜᱼᱟ, ᱵᱟᱺᱪᱟᱣ ᱵᱟᱝ ᱾",,,i18nSantali.js
1 · Drill and hazard instructions,buddy_fb_cas_wrong,Dizziness in a confined space is oxygen deficiency or gas exposure. Those seconds were your only chance to tell anyone — after that nobody knows you are in trouble.,सीमित स्थान में चक्कर आना ऑक्सीजन की कमी या गैस संपर्क है। वे सेकंड किसी को बताने का एकमात्र मौका थे — उसके बाद किसी को पता नहीं चलेगा।,ᱛᱮᱸᱜᱚᱱ ᱡᱟᱭᱜᱟ ᱨᱮ ᱵᱚᱦᱚᱜ ᱜᱩᱨ ᱫᱚ ᱚᱠᱥᱤᱡᱚᱱ ᱠᱚᱢ ᱥᱮ ᱜᱮᱥ ᱛᱮ ᱦᱩᱭᱩᱜᱼᱟ ᱾ ᱚᱱᱟ ᱥᱮᱠᱮᱸᱰ ᱠᱚ ᱜᱮ ᱡᱟᱦᱟᱸ ᱦᱚᱲ ᱛᱮ ᱞᱟᱭ ᱞᱟᱹᱜᱤᱫ ᱢᱤᱫ ᱜᱮ ᱚᱠᱛᱚ ᱛᱟᱦᱮᱸᱠᱟᱱᱟ — ᱚᱱᱟ ᱛᱟᱭᱚᱢ ᱚᱠᱚᱭ ᱦᱚᱸ ᱵᱟᱝ ᱵᱟᱰᱟᱭᱟ ᱡᱮ ᱟᱢ ᱫᱩᱠ ᱨᱮ ᱢᱮᱱᱟᱢᱟ ᱾,,,i18nSantali.js
1 · Drill and hazard instructions,buddy_fb_entry_right,"Correct. A stand-by attendant outside the space is a requirement, not a courtesy. Without one, nobody can raise the alarm.","सही। स्थान के बाहर स्टैंड-बाय अटेंडेंट अनिवार्य है, शिष्टाचार नहीं। उसके बिना कोई अलार्म नहीं बजा सकता।","ᱴᱷᱤᱠ ᱾ ᱡᱟᱭᱜᱟ ᱵᱟᱦᱨᱮ ᱢᱤᱫ ᱧᱮᱞᱚᱜᱤᱡ ᱛᱟᱦᱮᱸᱱ ᱫᱚ ᱠᱟᱱᱩᱱ ᱠᱟᱱᱟ, ᱟᱹᱰᱤ ᱵᱮᱥ ᱠᱟᱹᱢᱤ ᱵᱟᱝ ᱾ ᱩᱱᱤ ᱵᱟᱝ ᱛᱟᱦᱮᱸᱠᱷᱟᱱ ᱚᱠᱚᱭ ᱦᱚᱸ ᱟᱞᱟᱨᱢ ᱵᱟᱝ ᱮᱢ ᱫᱟᱲᱮᱭᱟᱜᱼᱟ ᱾",,,i18nSantali.js
1 · Drill and hazard instructions,buddy_fb_entry_wrong,"Two people inside a gas-filled space is two casualties. The whole point of the attendant is that they stay outside, uncontaminated, able to call rescue.",गैस भरे स्थान में दो लोग अंदर = दो हताहत। अटेंडेंट का पूरा मकसद यही है कि वे बाहर सुरक्षित रहें और बचाव बुला सकें।,ᱜᱮᱥ ᱯᱮᱨᱮᱡ ᱡᱟᱭᱜᱟ ᱨᱮ ᱵᱟᱨᱭᱟ ᱦᱚᱲ ᱵᱚᱞᱚ ᱫᱚ ᱵᱟᱨᱭᱟ ᱜᱷᱟᱭᱚᱞ ᱠᱟᱱᱟ ᱾ ᱧᱮᱞᱚᱜᱤᱡ ᱨᱮᱭᱟᱜ ᱢᱩᱬᱩᱛ ᱜᱮ ᱱᱚᱶᱟ ᱠᱟᱱᱟ ᱡᱮ ᱩᱱᱤ ᱵᱟᱦᱨᱮ ᱨᱠᱷᱟ ᱛᱮ ᱛᱟᱦᱮᱸᱱᱟ ᱟᱨ ᱵᱟᱺᱪᱟᱣ ᱠᱟᱠᱷᱟᱨ ᱫᱟᱲᱮᱭᱟᱜᱼᱟ ᱾,,,i18nSantali.js
1 · Drill and hazard instructions,buddy_fb_ppe_right,"Correct. Once gas is confirmed, respiratory protection rated for that gas is mandatory for everyone entering.","सही। गैस की पुष्टि होने पर, प्रवेश करने वाले सभी के लिए उस गैस के लिए रेटेड श्वसन सुरक्षा अनिवार्य है।","ᱴᱷᱤᱠ ᱾ ᱜᱮᱥ ᱥᱟᱹᱨᱤ ᱦᱩᱭ ᱛᱟᱭᱚᱢ, ᱚᱱᱟ ᱜᱮᱥ ᱞᱟᱹᱜᱤᱫ ᱥᱟᱶᱦᱮᱫ ᱥᱟᱶᱥ ᱨᱠᱷᱟ ᱡᱚᱛᱚ ᱵᱚᱞᱚ ᱦᱚᱲ ᱞᱟᱹᱜᱤᱫ ᱠᱟᱱᱩᱱ ᱠᱟᱱᱟ ᱾",,,i18nSantali.js
1 · Drill and hazard instructions,buddy_fb_ppe_wrong,"A dust mask filters particles, not gas. In a confined space with confirmed gas it offers no protection at all — you would be unconscious before you noticed.","धूल मास्क कण छानता है, गैस नहीं। पुष्ट गैस वाले सीमित स्थान में यह कोई सुरक्षा नहीं देता — आप बेहोश हो जाएंगे, पता भी नहीं चलेगा।","ᱫᱷᱩᱲᱤ ᱢᱟᱥᱠ ᱫᱚ ᱫᱷᱩᱲᱤ ᱪᱷᱟᱱᱟᱣᱮᱫᱟ, ᱜᱮᱥ ᱵᱟᱝ ᱾ ᱜᱮᱥ ᱥᱟᱹᱨᱤ ᱠᱟᱱ ᱛᱮᱸᱜᱚᱱ ᱡᱟᱭᱜᱟ ᱨᱮ ᱱᱚᱶᱟ ᱛᱤᱱᱟᱹᱜ ᱦᱚᱸ ᱨᱠᱷᱟ ᱵᱟᱝ ᱮᱢᱟ — ᱵᱟᱰᱟᱭ ᱞᱟᱦᱟ ᱜᱮ ᱟᱢ ᱜᱤᱛᱤᱡᱚᱜᱼᱟᱢ ᱾",,,i18nSantali.js
1 · Drill and hazard instructions,buddy_fb_resp1_right,Correct. Raising the alarm from outside is the only action that helps. It is counter-instinctive and it is what saves both of you.,सही। बाहर से अलार्म बजाना ही एकमात्र मददगार कार्रवाई है। यह सहज प्रवृत्ति के विरुद्ध है और यही दोनों को बचाता है।,ᱴᱷᱤᱠ ᱾ ᱵᱟᱦᱨᱮ ᱠᱷᱚᱱ ᱟᱞᱟᱨᱢ ᱮᱢ ᱜᱮ ᱢᱤᱫ ᱜᱚᱲᱚ ᱠᱟᱹᱢᱤ ᱠᱟᱱᱟ ᱾ ᱢᱚᱱ ᱨᱮ ᱵᱟᱝ ᱦᱮᱡᱚᱜᱼᱟ ᱢᱮᱱᱠᱷᱟᱱ ᱱᱚᱶᱟ ᱜᱮ ᱟᱯᱮ ᱵᱟᱨᱭᱟ ᱛᱮ ᱵᱟᱺᱪᱟᱣᱮᱫᱟ ᱾,,,i18nSantali.js
1 · Drill and hazard instructions,buddy_fb_resp1_wrong,This is the mistake that turns one casualty into two. Most confined-space deaths are would-be rescuers. The gas that dropped your buddy will drop you in the same seconds.,"यही गलती एक हताहत को दो बना देती है। सीमित स्थान की अधिकतर मौतें बचाने गए लोगों की होती हैं। जिस गैस ने बडी को गिराया, वही आपको भी गिराएगी।","ᱱᱚᱶᱟ ᱵᱷᱩᱞ ᱜᱮ ᱢᱤᱫ ᱜᱷᱟᱭᱚᱞ ᱠᱷᱚᱱ ᱵᱟᱨᱭᱟ ᱛᱮᱭᱟᱨᱮᱫᱟ ᱾ ᱛᱮᱸᱜᱚᱱ ᱡᱟᱭᱜᱟ ᱨᱮᱱ ᱟᱭᱢᱟ ᱜᱚᱡᱚᱜ ᱦᱚᱲ ᱫᱚ ᱵᱟᱺᱪᱟᱣ ᱪᱟᱞᱟᱜ ᱦᱚᱲ ᱠᱚ ᱠᱟᱱᱟ ᱾ ᱚᱠᱟ ᱜᱮᱥ ᱟᱢᱟᱜ ᱡᱚᱲᱟᱣ ᱜᱤᱛᱤᱡ ᱠᱮᱫᱮᱭᱟ, ᱚᱱᱟ ᱜᱮᱥ ᱮᱱᱟᱜ ᱥᱮᱠᱮᱸᱰ ᱨᱮ ᱟᱢ ᱦᱚᱸ ᱜᱤᱛᱤᱡ ᱢᱮᱭᱟ ᱾",,,i18nSantali.js
1 · Drill and hazard instructions,buddy_fb_resp2_right,Correct. Holding the entry and briefing the trained team is the highest-value thing you can do. You are the only person who knows exactly where they went down.,सही। प्रवेश रोकना और प्रशिक्षित दल को जानकारी देना सबसे मूल्यवान काम है। आप ही जानते हैं वे ठीक कहाँ गिरे।,ᱴᱷᱤᱠ ᱾ ᱵᱚᱞᱚ ᱫᱩᱣᱟᱹᱨ ᱫᱚᱦᱚᱭ ᱟᱨ ᱛᱟᱞᱤᱢ ᱦᱩᱭ ᱠᱟᱱ ᱫᱚᱞ ᱛᱮ ᱠᱷᱚᱵᱚᱨ ᱮᱢ ᱜᱮ ᱡᱟᱥᱛᱤ ᱵᱮᱥ ᱠᱟᱹᱢᱤ ᱠᱟᱱᱟ ᱾ ᱟᱢ ᱜᱮ ᱢᱤᱫ ᱦᱚᱲ ᱠᱟᱱᱟᱢ ᱡᱮ ᱵᱟᱰᱟᱭᱮᱫᱟᱢ ᱩᱱᱤ ᱚᱠᱟ ᱨᱮ ᱜᱤᱛᱤᱡ ᱮᱱᱟᱭ ᱾,,,i18nSantali.js
1 · Drill and hazard instructions,buddy_fb_resp2_wrong,"A dust mask does nothing against gas. Four minutes of waiting feels unbearable, but entering unprotected takes the one person who knows where your buddy is.","धूल मास्क गैस के सामने बेकार है। चार मिनट रुकना असहनीय लगता है, लेकिन बिना सुरक्षा जाने से वह एक व्यक्ति भी चला जाएगा जिसे पता है बडी कहाँ है।","ᱫᱷᱩᱲᱤ ᱢᱟᱥᱠ ᱜᱮᱥ ᱟᱹᱭᱩᱨ ᱨᱮ ᱪᱮᱫ ᱦᱚᱸ ᱵᱟᱝ ᱠᱟᱹᱢᱤᱭᱟ ᱾ ᱯᱩᱱ ᱢᱤᱱᱤᱴ ᱠᱩᱨᱩᱢᱩᱴᱩ ᱫᱚ ᱟᱹᱰᱤ ᱫᱩᱠ ᱞᱟᱹᱜᱤᱫᱟ, ᱢᱮᱱᱠᱷᱟᱱ ᱨᱠᱷᱟ ᱵᱟᱝ ᱠᱟᱛᱮ ᱵᱚᱞᱚ ᱠᱷᱟᱱ ᱚᱱᱟ ᱢᱤᱫ ᱦᱚᱲ ᱦᱚᱸ ᱪᱟᱞᱟᱜᱼᱟ ᱡᱟᱦᱟᱭ ᱵᱟᱰᱟᱭᱮᱫᱟᱭ ᱡᱚᱲᱟᱣ ᱚᱠᱟ ᱨᱮ ᱢᱮᱱᱟᱭᱟ ᱾",,,i18nSantali.js
1 · Drill and hazard instructions,buddy_ppe_dust,A dust mask — it is right here,धूल मास्क — यही पास है,ᱫᱷᱩᱲᱤ ᱢᱟᱥᱠ,,,i18n.js / i18nJaagruk.js
1 · Drill and hazard instructions,buddy_ppe_scba,Breathing apparatus rated for this gas,इस गैस के लिए रेटेड श्वास उपकरण,ᱜᱮᱥ ᱞᱟᱹᱜᱤᱫ ᱥᱟᱶᱦᱮᱫ ᱥᱟᱶᱥ ᱡᱤᱱᱤᱥ,,,i18n.js / i18nJaagruk.js
1 · Drill and hazard instructions,buddy_resp_alarm,"Stay out, raise the alarm, call rescue","बाहर रहें, अलार्म बजाएं, बचाव बुलाएं","ᱵᱟᱦᱨᱮ ᱛᱟᱦᱮᱸᱱ, ᱟᱞᱟᱨᱢ ᱨᱩᱭ, ᱩᱫᱷᱟᱹᱨ ᱠᱚ ᱦᱟᱠᱟᱣ",,,i18n.js / i18nJaagruk.js
1 · Drill and hazard instructions,buddy_resp_dustmask,Put on a dust mask and go in now,धूल मास्क पहनकर अभी अंदर जाएं,ᱫᱷᱩᱲᱤ ᱢᱟᱥᱠ ᱛᱩᱞᱟᱹ ᱟᱨ ᱵᱚᱞᱚᱭ,,,i18n.js / i18nJaagruk.js
1 · Drill and hazard instructions,buddy_resp_rush,Go in and pull them out,अंदर जाकर उन्हें बाहर खींचें,ᱵᱷᱤᱛᱤᱨ ᱛᱮ ᱪᱟᱞᱟᱜ ᱟᱨ ᱚᱰᱚᱠ ᱦᱟᱛᱟᱣ,,,i18n.js / i18nJaagruk.js
1 · Drill and hazard instructions,buddy_resp_wait,Hold the entry and guide the rescue team in,प्रवेश रोकें और बचाव दल को रास्ता दिखाएं,ᱵᱚᱞᱚ ᱡᱟᱭᱜᱟ ᱫᱚᱦᱚᱭ ᱟᱨ ᱩᱫᱷᱟᱹᱨ ᱫᱟᱞ ᱠᱚ ᱦᱚᱨ ᱩᱫᱩᱜ,,,i18n.js / i18nJaagruk.js
1 · Drill and hazard instructions,buddy_step_casualty,Your head is swimming and your vision is blurring. What do you do with the seconds you have?,आपका सिर घूम रहा है और नज़र धुंधली हो रही है। बचे सेकंडों में आप क्या करते हैं?,ᱟᱢᱟᱜ ᱵᱚᱦᱚᱜ ᱜᱩᱨ ᱮᱫᱟᱭ ᱟᱨ ᱧᱮᱞ ᱛᱩᱲ ᱮᱫᱟᱭ ᱾ ᱛᱤᱱᱟᱹᱜ ᱠᱚᱨᱟᱣ?,,,i18n.js / i18nJaagruk.js
1 · Drill and hazard instructions,buddy_step_entry,Your buddy is ready but the stand-by attendant has stepped away. Do you go in?,आपका बडी तैयार है लेकिन स्टैंड-बाय अटेंडेंट चला गया है। क्या आप अंदर जाते हैं?,ᱡᱚᱲᱟᱣ ᱛᱮᱭᱟᱨ ᱜᱮᱭᱟ ᱢᱮᱱᱠᱷᱟᱱ ᱵᱟᱦᱨᱮᱭᱟᱜ ᱦᱚᱲ ᱵᱟᱝ ᱾ ᱵᱚᱞᱚᱭ ᱟᱢ?,,,i18n.js / i18nJaagruk.js
1 · Drill and hazard instructions,buddy_step_ppe,Gas has been detected in the shaft. Which mask do you both put on before entry?,शाफ्ट में गैस मिली है। प्रवेश से पहले आप दोनों कौन सा मास्क पहनते हैं?,ᱥᱟᱯᱷᱴ ᱨᱮ ᱜᱮᱥ ᱧᱟᱢ ᱟᱠᱟᱱᱟ ᱾ ᱵᱚᱞᱚ ᱞᱟᱦᱟ ᱚᱠᱟ ᱢᱟᱥᱠ ᱛᱩᱞᱟᱹᱭ ᱠᱟᱱᱟ?,,,i18n.js / i18nJaagruk.js
1 · Drill and hazard instructions,buddy_step_resp1,Your buddy has collapsed inside. What is your first action?,आपका बडी अंदर गिर गया है। आपकी पहली कार्रवाई क्या है?,ᱟᱢᱟᱜ ᱡᱚᱲᱟᱣ ᱵᱷᱤᱛᱤᱨ ᱨᱮ ᱜᱤᱛᱤᱡ ᱮᱱᱟ ᱾ ᱢᱟᱲᱟᱝ ᱠᱟᱹᱢᱤ ᱪᱮᱫ?,,,i18n.js / i18nJaagruk.js
1 · Drill and hazard instructions,buddy_step_resp2,The alarm is raised. Rescue is four minutes away. What now?,अलार्म बज गया। बचाव दल चार मिनट दूर है। अब क्या?,ᱟᱞᱟᱨᱢ ᱨᱩᱭ ᱮᱱᱟ ᱾ ᱩᱫᱷᱟᱹᱨ ᱫᱟᱞ ᱯᱩᱱ ᱢᱤᱱᱤᱴ ᱥᱟᱶ ᱦᱮᱡᱚᱜᱼᱟ ᱾ ᱛᱮᱦᱮᱸ ᱪᱮᱫ?,,,i18n.js / i18nJaagruk.js
1 · Drill and hazard instructions,err_attempts_left,attempts left,प्रयास बाकी,ᱠᱩᱨᱩᱢᱩᱴᱩ ᱵᱟᱠᱤ,,,i18nSantali.js
1 · Drill and hazard instructions,err_LOCKED_OUT,Too many wrong attempts. Wait before trying again.,बहुत बार गलत। फिर कोशिश करने से पहले रुकें।,ᱟᱭᱢᱟ ᱫᱷᱟᱣ ᱵᱷᱩᱞ ᱮᱱᱟ ᱾ ᱫᱚᱦᱲᱟ ᱠᱩᱨᱩᱢᱩᱴᱩ ᱞᱟᱦᱟ ᱛᱷᱤᱨ ᱢᱮ ᱾,,,i18nSantali.js
1 · Drill and hazard instructions,err_NAME_TOO_LONG,That name is too long.,यह नाम बहुत लंबा है।,ᱱᱚᱶᱟ ᱧᱩᱛᱩᱢ ᱟᱹᱰᱤ ᱡᱤᱞᱤᱧ ᱾,,,i18nSantali.js
1 · Drill and hazard instructions,err_NAME_TOO_SHORT,Please enter at least 2 characters.,कम से कम 2 अक्षर लिखें।,ᱠᱚᱢ ᱛᱮ ᱠᱚᱢ 2 ᱟᱹᱠᱷᱚᱨ ᱚᱞ ᱢᱮ ᱾,,,i18nSantali.js
1 · Drill and hazard instructions,err_PHONE_INVALID,"Enter a 10-digit phone number, or leave it blank.","10 अंकों का नंबर लिखें, या खाली छोड़ दें।","10 ᱮᱞ ᱯᱷᱚᱱ ᱱᱟᱢᱵᱚᱨ ᱚᱞ ᱢᱮ, ᱥᱮ ᱠᱷᱟᱞᱤ ᱵᱟᱰᱟᱭ ᱢᱮ ᱾",,,i18nSantali.js
1 · Drill and hazard instructions,err_PHONE_TAKEN,That phone number is already registered at this site.,यह नंबर इस साइट पर पहले से पंजीकृत है।,ᱱᱚᱶᱟ ᱱᱟᱢᱵᱚᱨ ᱱᱚᱶᱟ ᱴᱷᱟᱶ ᱨᱮ ᱢᱟᱲᱟᱝ ᱠᱷᱚᱱ ᱨᱮᱠᱚᱰ ᱟᱠᱟᱱᱟ ᱾,,,i18nSantali.js
1 · Drill and hazard instructions,err_PIN_FORMAT,The PIN must be 4 to 6 digits.,पिन 4 से 6 अंकों का होना चाहिए।,ᱯᱤᱱ 4 ᱠᱷᱚᱱ 6 ᱮᱞ ᱛᱟᱦᱮᱸᱱ ᱞᱟᱹᱠᱛᱤ ᱾,,,i18nSantali.js
1 · Drill and hazard instructions,err_PIN_MISMATCH,The two PINs do not match.,दोनों पिन मेल नहीं खाते।,ᱵᱟᱨᱭᱟ ᱯᱤᱱ ᱵᱟᱝ ᱢᱮᱞᱟᱣ ᱠᱟᱱᱟ ᱾,,,i18nSantali.js
1 · Drill and hazard instructions,err_PIN_TOO_SIMPLE,Pick a less obvious PIN — not 1234 or all the same digit.,कम स्पष्ट पिन चुनें — 1234 या एक ही अंक नहीं।,ᱟᱹᱰᱤ ᱥᱚᱦᱚᱡ ᱯᱤᱱ ᱵᱟᱝ ᱵᱟᱪᱷᱟᱣ ᱢᱮ — 1234 ᱥᱮ ᱡᱚᱛᱚ ᱢᱤᱫ ᱮᱞ ᱵᱟᱝ ᱾,,,i18nSantali.js
1 · Drill and hazard instructions,err_PIN_WRONG,Wrong PIN.,गलत पिन।,ᱵᱷᱩᱞ ᱯᱤᱱ ᱾,,,i18n.js / i18nJaagruk.js
1 · Drill and hazard instructions,err_WORKER_NOT_FOUND,That worker record no longer exists on this phone.,यह रिकॉर्ड अब इस फ़ोन पर नहीं है।,ᱱᱚᱶᱟ ᱠᱟᱹᱢᱤ ᱦᱚᱲ ᱨᱮᱠᱚᱰ ᱱᱚᱶᱟ ᱯᱷᱚᱱ ᱨᱮ ᱵᱟᱝ ᱢᱮᱱᱟᱜᱼᱟ ᱾,,,i18nSantali.js
1 · Drill and hazard instructions,gesture_degraded,This phone is struggling to keep up — tapping will be faster.,यह फ़ोन साथ नहीं दे पा रहा — टैप करना तेज़ होगा।,ᱱᱚᱶᱟ ᱯᱷᱚᱱ ᱥᱟᱶ ᱵᱟᱝ ᱮᱢ ᱫᱟᱲᱮᱭᱮᱫᱟ — ᱛᱚᱯᱟᱣ ᱡᱟᱥᱛᱤ ᱞᱚᱜᱚᱱ ᱦᱩᱭᱩᱜᱼᱟ ᱾,,,i18nSantali.js
1 · Drill and hazard instructions,gesture_error,Hand tracking could not start.,हाथ ट्रैकिंग शुरू नहीं हो सकी।,ᱛᱤ ᱴᱨᱮᱠᱤᱝ ᱵᱟᱝ ᱮᱦᱚᱵ ᱦᱩᱭ ᱞᱮᱱᱟ ᱾,,,i18nSantali.js
1 · Drill and hazard instructions,gesture_idle,Hand tracking off,हाथ ट्रैकिंग बंद,ᱛᱤ ᱴᱨᱮᱠᱤᱝ ᱵᱚᱸᱫᱚ,,,i18nSantali.js
1 · Drill and hazard instructions,gesture_loading,Loading hand tracking…,हाथ ट्रैकिंग लोड हो रही है…,ᱛᱤ ᱴᱨᱮᱠᱤᱝ ᱞᱟᱫᱮᱫ ᱠᱟᱱᱟ…,,,i18nSantali.js
1 · Drill and hazard instructions,gesture_model_failed,"The hand-tracking model could not be downloaded. Connect once, then it works offline.","हाथ ट्रैकिंग मॉडल डाउनलोड नहीं हुआ। एक बार कनेक्ट करें, फिर यह ऑफ़लाइन चलेगा।","ᱛᱤ ᱴᱨᱮᱠᱤᱝ ᱢᱳᱰᱮᱞ ᱵᱟᱝ ᱰᱟᱣᱱᱞᱳᱰ ᱦᱩᱭ ᱞᱮᱱᱟ ᱾ ᱢᱤᱫ ᱫᱷᱟᱣ ᱡᱚᱲᱟᱣ ᱢᱮ, ᱚᱱᱟ ᱛᱟᱭᱚᱢ ᱚᱯᱷᱞᱟᱭᱤᱱ ᱠᱟᱹᱢᱤᱭᱟ ᱾",,,i18nSantali.js
1 · Drill and hazard instructions,gesture_no_camera,No front camera available.,सामने का कैमरा उपलब्ध नहीं।,ᱢᱟᱲᱟᱝ ᱠᱮᱢᱨᱟ ᱵᱟᱝ ᱢᱮᱱᱟᱜᱼᱟ ᱾,,,i18nSantali.js
1 · Drill and hazard instructions,gesture_permission_denied,"Camera permission was refused, so hand tracking is off.","कैमरा अनुमति नहीं मिली, इसलिए हाथ ट्रैकिंग बंद है।","ᱠᱮᱢᱨᱟ ᱦᱩᱠᱩᱢ ᱵᱟᱝ ᱧᱟᱢ ᱞᱮᱱᱟ, ᱚᱱᱟᱛᱮ ᱛᱤ ᱴᱨᱮᱠᱤᱝ ᱵᱚᱸᱫᱚ ᱾",,,i18nSantali.js
1 · Drill and hazard instructions,gesture_running,"Point to aim, pinch or hold to select","इशारा करें, चुनने के लिए चुटकी या स्थिर रखें","ᱩᱫᱩᱜ ᱢᱮ, ᱵᱟᱪᱷᱟᱣ ᱞᱟᱹᱜᱤᱫ ᱛᱤᱠᱤᱧ",,,i18n.js / i18nJaagruk.js
1 · Drill and hazard instructions,gesture_unsupported,This browser cannot run hand tracking.,यह ब्राउज़र हाथ ट्रैकिंग नहीं चला सकता।,ᱱᱚᱶᱟ ᱵᱨᱟᱣᱡᱚᱨ ᱛᱤ ᱴᱨᱮᱠᱤᱝ ᱵᱟᱝ ᱮᱦᱚᱵ ᱫᱟᱲᱮᱭᱟᱜᱼᱟ ᱾,,,i18nSantali.js
1 · Drill and hazard instructions,hz_add_photo,Take a photo,फोटो लें,ᱯᱷᱚᱴᱚ ᱦᱟᱛᱟᱣ,,,i18n.js / i18nJaagruk.js
1 · Drill and hazard instructions,hz_add_voice,Say what is wrong,बोलकर बताएं क्या गलत है,ᱨᱚᱲ ᱠᱟᱛᱮ ᱞᱟᱭ ᱢᱮ,,,i18n.js / i18nJaagruk.js
1 · Drill and hazard instructions,hz_cat_blocked_exit,Exit is blocked,निकास अवरुद्ध है,ᱚᱰᱚᱠ ᱦᱚᱨ ᱵᱚᱸᱫᱚ,,,i18n.js / i18nJaagruk.js
1 · Drill and hazard instructions,hz_cat_dust,Too much dust,बहुत धूल,ᱟᱭᱢᱟ ᱫᱷᱩᱲᱤ,,,i18n.js / i18nJaagruk.js
